,Education_code
0,12
1,12
2,8
3,6
4,12
5,13
6,4
7,8
8,13
9,12
11,12
12,12
13,11
15,3
16,8
17,8
18,6
19,13
20,15
21,8
22,4
23,6
24,8
25,12
26,8
29,8
30,11
31,9
32,12
33,9
34,9
35,6
36,9
37,8
39,11
40,4
41,12
42,12
43,8
44,8
45,12
46,8
47,13
48,10
49,10
50,9
52,14
53,12
54,8
55,9
56,2
57,10
58,8
59,8
60,12
62,8
63,15
64,9
65,8
66,9
67,8
68,9
70,9
71,12
73,9
74,9
75,8
76,11
78,6
79,3
80,8
81,12
82,8
83,8
84,8
85,8
86,8
87,13
88,4
89,15
90,10
91,9
92,9
94,12
95,9
96,15
97,9
98,11
99,8
100,13
101,12
102,13
103,9
104,8
105,8
107,6
108,8
109,8
110,12
111,14
112,8
113,9
114,8
115,4
116,9
117,10
118,9
119,8
120,9
121,12
122,12
123,12
124,9
125,12
126,9
127,11
129,9
130,11
131,8
132,8
133,12
134,11
135,13
136,8
137,10
138,9
139,9
140,8
141,9
142,9
143,10
144,9
145,8
146,9
147,8
148,6
150,9
151,8
152,12
153,8
155,8
156,12
157,9
158,8
159,12
161,8
162,13
163,8
164,13
165,9
166,11
167,13
168,6
169,10
170,8
171,8
172,9
173,12
174,12
175,8
176,8
177,8
178,8
180,9
181,9
182,9
183,3
184,9
185,8
186,12
188,13
189,15
190,9
191,9
192,12
193,9
194,12
195,2
196,9
197,13
198,13
199,8
200,13
202,12
203,9
204,8
205,6
206,12
207,8
208,8
209,6
210,8
211,8
212,9
213,8
214,3
215,12
216,11
217,12
218,12
219,5
220,9
222,8
223,8
224,0
225,8
227,8
228,10
229,8
230,6
231,8
232,9
233,9
234,14
235,8
236,9
237,12
239,8
240,12
241,8
242,11
244,9
246,8
247,8
248,11
250,14
251,12
252,5
253,9
254,9
255,8
256,8
257,8
258,10
259,3
260,12
261,8
262,6
263,9
264,6
267,8
268,12
269,8
270,8
271,4
273,13
274,8
275,8
276,9
277,9
278,9
279,9
280,12
281,9
282,11
283,12
284,8
285,13
286,14
287,9
288,12
289,3
290,12
291,8
292,12
293,9
294,12
295,8
296,12
298,8
300,12
301,9
302,8
303,8
304,9
305,8
306,11
307,11
308,11
309,9
310,12
311,13
313,12
314,9
315,9
316,9
317,2
318,9
319,8
320,8
321,9
322,8
323,6
324,13
325,8
327,9
328,8
329,8
330,9
331,12
332,10
333,5
334,8
335,2
336,8
337,13
338,8
339,8
340,11
341,10
342,8
343,8
344,9
345,12
348,11
349,12
350,12
351,8
352,12
353,6
355,8
356,6
357,10
358,8
359,4
360,5
361,13
362,12
363,12
364,8
365,8
366,9
367,11
368,12
369,8
370,9
371,6
372,10
373,8
374,8
375,9
376,8
377,9
378,13
379,8
380,8
381,2
382,9
383,9
384,9
385,8
386,8
387,9
388,9
389,8
390,8
391,12
392,11
394,8
395,9
396,9
398,12
399,12
400,9
401,9
402,12
404,3
406,8
407,8
409,9
410,9
411,8
412,9
413,15
414,9
415,7
416,1
417,6
418,6
419,8
420,9
421,6
422,12
423,8
424,5
425,8
426,13
428,8
429,13
432,12
433,11
434,9
435,13
436,8
437,9
438,9
439,9
440,12
441,8
442,8
443,9
444,4
445,9
446,8
447,8
448,8
450,8
451,9
452,8
454,8
455,10
456,8
457,9
458,8
460,11
461,8
462,12
463,1
464,12
465,8
466,8
467,9
468,13
469,12
470,9
472,8
473,8
474,10
475,12
476,4
477,9
478,5
479,8
480,11
481,9
482,12
483,8
485,9
487,8
488,12
489,12
490,8
491,8
492,11
493,8
494,12
495,8
496,9
497,2
498,9
500,8
501,8
502,9
503,9
504,12
505,12
506,9
507,9
508,8
509,8
510,10
512,10
513,9
514,8
516,9
519,12
521,8
522,9
523,9
524,9
525,9
526,12
527,9
528,8
529,13
530,6
531,8
532,8
533,11
534,14
535,7
536,1
537,10
538,12
540,9
541,15
542,9
543,8
544,9
545,8
546,5
547,9
548,8
549,9
550,9
551,8
552,6
553,8
554,10
555,6
556,8
558,8
559,6
560,12
561,12
562,9
563,8
564,12
565,8
566,13
567,3
568,8
569,13
570,8
571,8
572,6
573,10
575,12
577,11
578,12
579,9
581,8
582,8
583,8
584,12
585,9
586,9
587,6
588,5
592,3
593,12
594,12
595,8
597,14
598,9
599,12
600,12
601,9
602,3
603,4
604,11
605,8
606,13
607,8
608,8
609,5
610,13
611,8
612,8
613,12
614,12
615,8
616,8
617,8
618,12
619,14
620,12
621,6
622,4
623,10
624,4
625,8
626,8
628,9
629,12
630,9
631,5
632,9
633,12
634,8
635,8
636,12
637,12
638,2
639,15
640,8
641,8
642,9
643,9
644,9
645,15
646,8
647,8
649,12
650,9
651,8
652,15
653,9
654,8
655,9
657,8
658,3
659,8
660,7
661,13
662,9
663,13
664,9
665,11
666,9
667,8
669,4
670,9
672,6
673,12
674,8
675,8
676,7
677,9
678,8
679,8
680,8
681,10
682,8
683,9
684,6
685,8
687,12
688,13
689,8
690,9
691,9
692,9
693,9
694,12
696,13
697,13
698,12
699,8
700,12
701,12
702,9
703,9
705,12
706,7
707,9
708,8
709,6
710,12
711,9
713,10
714,12
715,8
716,8
717,8
718,9
719,12
720,8
721,8
722,12
723,8
724,12
726,8
727,9
728,8
730,9
731,9
732,10
733,10
735,9
736,9
737,12
738,8
739,12
740,9
742,13
743,10
744,7
745,12
746,8
747,9
748,6
749,12
750,12
751,12
752,5
753,8
754,8
755,10
756,8
757,12
758,8
759,8
760,8
761,8
762,8
764,12
765,5
766,9
767,9
768,12
769,8
770,9
771,2
772,8
773,10
774,8
775,10
776,9
778,12
779,9
781,10
782,10
783,9
784,12
785,9
786,8
787,7
790,10
791,12
793,8
794,8
795,9
796,8
797,8
798,13
799,12
800,11
801,8
802,6
803,8
804,6
805,8
807,12
808,12
809,8
810,8
812,9
813,9
814,5
816,10
817,9
818,8
819,8
820,10
821,13
822,10
823,8
824,8
825,8
826,8
827,8
828,9
829,12
831,9
832,9
833,8
835,8
836,8
837,12
838,12
839,8
840,6
841,9
842,9
843,12
844,8
845,9
846,8
847,12
848,12
849,8
850,13
851,10
852,8
853,12
854,15
855,8
856,8
857,8
858,12
859,12
860,6
861,8
862,6
864,8
865,9
866,5
867,6
868,9
869,12
870,12
871,9
872,13
873,12
874,2
875,12
876,8
877,10
878,8
879,8
880,4
881,12
883,12
884,9
886,12
888,8
889,10
891,12
892,10
893,12
895,13
896,9
897,12
898,12
899,8
900,3
901,4
902,8
904,8
905,8
906,9
907,12
908,8
909,9
910,8
911,9
912,5
913,9
914,8
915,12
916,13
917,8
918,8
919,9
920,9
921,9
922,2
923,9
925,8
926,8
927,13
928,9
929,1
930,8
932,0
933,8
934,6
936,13
937,14
938,8
939,12
940,11
941,8
942,8
943,8
944,8
945,9
946,9
947,12
948,9
949,9
950,8
951,13
952,3
953,8
954,9
957,5
958,12
959,11
960,9
961,8
963,5
964,8
965,8
966,9
967,8
968,12
970,8
971,12
972,12
973,8
975,9
976,9
977,13
978,8
979,8
980,8
981,11
983,8
984,8
985,10
986,8
987,8
988,8
989,9
990,12
991,10
992,8
993,8
994,8
995,8
996,13
997,12
998,9
999,12
1000,9
1002,8
1003,12
1004,8
1005,12
1006,8
1007,8
1008,8
1009,9
1010,8
1011,10
1012,8
1013,9
1014,13
1015,3
1016,10
1017,8
1018,8
1020,9
1021,13
1022,8
1023,9
1024,8
1025,8
1027,8
1028,5
1029,13
1030,10
1031,11
1032,9
1033,8
1038,8
1040,8
1041,9
1042,9
1043,12
1044,9
1045,14
1047,9
1048,9
1049,12
1050,8
1051,12
1052,12
1053,9
1054,9
1055,12
1057,10
1058,13
1059,8
1060,8
1061,8
1062,8
1063,11
1065,9
1067,7
1068,12
1069,11
1070,12
1071,8
1072,8
1073,15
1074,6
1075,9
1076,12
1077,12
1078,8
1079,10
1080,12
1081,8
1082,8
1083,9
